"","word","half2","half1","fish.odds","fish.p","diff"
"ni","ni",34,4,8.5213507993936,0.000000586875905129874,30
"homme","homme",27,6,4.50587029629876,0.000319568072951475,21
"voyageurs","voyageurs",20,0,Inf,0.00000188395062880279,20
"lair","lair",23,4,5.75609796818487,0.000307250408472859,19
"pendant","pendant",46,27,1.70564832565763,0.0339922917748798,19
"foule","foule",21,5,4.20269626181406,0.00247393296488296,16
"toute","toute",35,19,1.84347165895974,0.0398766676243359,16
"car","car",28,14,2.00094940868016,0.0432748724097843,14
"travers","travers",17,3,5.66896247142382,0.0025612667544497,14
"navait","navait",17,4,4.25106637302179,0.00715965683389384,13
"voyage","voyage",14,2,7.00105281248476,0.00416263464626221,12
"cris","cris",14,3,4.66666274371216,0.0126787434967579,11
"rayons","rayons",16,5,3.20046726136523,0.0265030315878612,11
"venait","venait",14,3,4.66666274371216,0.0126787434967579,11
"fond","fond",13,3,4.33273119405142,0.0212059218247994,10
"regards","regards",13,3,4.33273119405142,0.0212059218247994,10
"coeur","coeur",10,1,9.99658029472964,0.0116908855905416,9
"immense","immense",9,0,Inf,0.00389713162555503,9
"leau","leau",10,1,9.99658029472964,0.0116908855905416,9
"nouvel","nouvel",9,0,Inf,0.00389713162555503,9
"héros","héros",9,1,8.99666086528298,0.0214444704620466,8
"passage","passage",10,2,4.99806554334315,0.0385010533126658,8
"personnage","personnage",9,1,8.99666086528298,0.0214444704620466,8
"port","port",9,1,8.99666086528298,0.0214444704620466,8
"dut","dut",8,1,7.99598740645344,0.0390077648951376,7
"nuages","nuages",7,0,Inf,0.0156037161968052,7
"parut","parut",8,1,7.99598740645344,0.0390077648951376,7
"porte","porte",8,1,7.99598740645344,0.0390077648951376,7
"tenait","tenait",7,0,Inf,0.0156037161968052,7
"compagnon","compagnon",6,0,Inf,0.0312195906199243,6
"folie","folie",6,0,Inf,0.0312195906199243,6
"heure","heure",6,0,Inf,0.0312195906199243,6
"mauvaise","mauvaise",6,0,Inf,0.0312195906199243,6
"mort","mort",6,0,Inf,0.0312195906199243,6
"pensait","pensait",6,0,Inf,0.0312195906199243,6
"prêt","prêt",6,0,Inf,0.0312195906199243,6
"suivre","suivre",6,0,Inf,0.0312195906199243,6
"degré","degré",0,5,0,0.0311277208616092,-5
"faudra","faudra",0,5,0,0.0311277208616092,-5
"lignes","lignes",0,5,0,0.0311277208616092,-5
"paix","paix",0,5,0,0.0311277208616092,-5
"principe","principe",0,5,0,0.0311277208616092,-5
"puisse","puisse",0,5,0,0.0311277208616092,-5
"siège","siège",0,5,0,0.0311277208616092,-5
"troupe","troupe",0,5,0,0.0311277208616092,-5
"vient","vient",0,5,0,0.0311277208616092,-5
"bataille","bataille",1,7,0.142574597672835,0.038897528394484,-6
"état","état",0,6,0,0.0155486087220137,-6
"gros","gros",1,7,0.142574597672835,0.038897528394484,-6
"savait","savait",1,7,0.142574597672835,0.038897528394484,-6
"dixhuit","dixhuit",2,9,0.221758992786901,0.0383905441841217,-7
"égale","égale",0,7,0,0.00776617755650041,-7
"firent","firent",1,8,0.124736288016561,0.0213721513540782,-7
"lancé","lancé",2,9,0.221758992786901,0.0383905441841217,-7
"petite","petite",0,7,0,0.00776617755650041,-7
"salle","salle",1,8,0.124736288016561,0.0213721513540782,-7
"vingtcinq","vingtcinq",1,8,0.124736288016561,0.0213721513540782,-7
"premiers","premiers",3,11,0.27212998758345,0.0349653293104551,-8
"puissance","puissance",4,12,0.332551942553289,0.0487886497686305,-8
"somme","somme",4,12,0.332551942553289,0.0487886497686305,-8
"termes","termes",2,10,0.199555122577401,0.0223308485931769,-8
"terrain","terrain",2,10,0.199555122577401,0.0223308485931769,-8
"villes","villes",1,9,0.110862197227744,0.0116449866694912,-8
"résistance","résistance",1,10,0.0997729225617727,0.00630046505867014,-9
"révolution","révolution",0,9,0,0.00193710678595923,-9
"armes","armes",0,10,0,0.000967350850049037,-10
"doit","doit",4,14,0.28501586402322,0.0190703648133951,-10
"quarante","quarante",5,15,0.332464922413533,0.026416181444614,-10
"seize","seize",1,11,0.0907057573712111,0.00338843050580041,-10
"degrés","degrés",2,13,0.153441669164611,0.00414195471707412,-11
"vingt","vingt",10,21,0.474908087233933,0.0497332204217061,-11
"général","général",4,17,0.234620728953672,0.00429533040735659,-13
"mouvement","mouvement",8,21,0.379810118362965,0.0159628194242124,-13
"pays","pays",11,24,0.456979872208027,0.0285398974970334,-13
"cestàdire","cestàdire",6,20,0.299051070983088,0.00585448164931826,-14
"or","or",7,21,0.332290815514266,0.00803587892687204,-14
"seconde","seconde",4,18,0.221555853801851,0.00256699758573123,-14
"chez","chez",1,17,0.0586226017707317,0.0000749770436801946,-16
"huit","huit",11,27,0.406023645559075,0.00934588296546116,-16
"livres","livres",20,36,0.55368948252301,0.0327195517445455,-16
"quatre","quatre",22,39,0.562132942292825,0.0295924656971697,-17
"cents","cents",31,49,0.630353889442726,0.0441444905257274,-18
"fait","fait",18,36,0.498192966109249,0.0142248194163288,-18
"poids","poids",5,23,0.216625350967225,0.000536090804092723,-18
"reprit","reprit",15,33,0.452905411973368,0.00924755106045324,-18
"alors","alors",18,37,0.484665300098117,0.0102728158335826,-19
"dit","dit",31,50,0.617666425373384,0.0346510783381354,-19
"francs","francs",4,24,0.166032963249204,0.000101399901298552,-20
"membres","membres",10,31,0.321273249079723,0.000919929599998782,-21
"guerre","guerre",3,31,0.0963191369137393,0.000000401136177009476,-28
"lune","lune",75,114,0.653666993059819,0.00427072958582856,-39
"poudre","poudre",3,44,0.0677214978819354,0.000000000121441812539124,-41
"mille","mille",71,123,0.572544797526458,0.000162778970269479,-52
"cent","cent",47,123,0.37780613876129,0.00000000272214981643835,-76
