,,,
abhor,abhor,anger,neg
abhorr,abhorrence,anger,neg
abomin,abomination,anger,neg
abus,abuse,anger,neg
ach,ache,sadness,neg
acrimoni,acrimony,anger,neg
admir,admire,love,pos
ador,adore,love,pos
adul,adulation,love,pos
affect,affection,love,pos
afflict,afflict,sadness,neg
affront,affront,anger,neg
afraid,afraid,fear,neg
aggrav,aggravate,anger,neg
aggriev,aggrieve,fear,neg
agit,agitated,anger,neg
agon,agonize,sadness,neg
agoni,agonized,sadness,neg
ail,ail,sadness,neg
alarm,alarm,fear,neg
alert,alert,fear,neg
alien,alienated,anger,neg
allegi,allegiance,love,pos
amiti,amity,love,pos
amor,amorousness,love,pos
amour,amour,love,pos
amus,amuse ,joy,pos
anger,anger,anger,neg
angst,angst,fear,neg
anguish,anguish,sadness,neg
anim,animated,joy,pos
animos,animosity,anger,neg
animus,animus,anger,neg
annoy,annoy,anger,neg
antagon,antagonism,anger,neg
antipathi,antipathy,anger,neg
anxieti,anxiety,fear,neg
anxious,anxious,fear,neg
apoplexi,apoplexy,anger,neg
appreci,appreciate,love,pos
apprehens,apprehension,fear,neg
ardent,ardent,love,pos
ardor,ardor,love,pos
asper,asperity,anger,neg
avers,aversion,anger,neg
avoid,avoid,fear,neg
aw,awe,love,pos
awe,awed,love,pos
aweinspir,aweinspiring,love,pos
bad,bad,anger,neg
balk,balk,fear,neg
barbar,barbaric,anger,neg
bawl,bawl,sadness,neg
beatitud,beatitude,joy,pos
bemoan,bemoan,sadness,neg
bereav,bereave,sadness,neg
bewail,bewail,sadness,neg
bitter,bitterness,anger,neg
bleak,bleakness,sadness,neg
bless,bless,love,pos
blessed,blessed,joy,pos
bliss,bliss,joy,pos
bristl,bristle,anger,neg
brood,brood,sadness,neg
bummer,bummer,sadness,neg
buoyanc,buoyancy,joy,pos
care,care,love,pos
catastroph,catastrophe,sadness,neg
celebr,celebrate,joy,pos
chafe,chafe,sadness,neg
charm,charm,joy,pos
cheer,cheer,joy,pos
cheeri,cheeriness,joy,pos
cheerless,cheerlessness,sadness,neg
cherish,cherish,love,pos
choler,choler,anger,neg
comfort,comfort,joy,pos
commend,commend,love,pos
complain,complain,anger,neg
compliment,compliment,love,pos
connipt,conniption,anger,neg
consecr,consecrate,love,pos
constern,consternation,fear,neg
contempt,contempt,anger,neg
content,content,joy,pos
cowardic,cowardice,fear,neg
cower,cower,fear,neg
crave,crave,love,pos
craze,craze,anger,neg
crazi,crazy,anger,neg
creepi,creepy,fear,neg
cri,cried,sadness,neg
cring,cringe,fear,neg
damag,damage,anger,neg
dampen,dampen,sadness,neg
death,death,sadness,neg
deifi,deify,love,pos
deject,dejected,sadness,neg
delect,delectation,joy,pos
delight,delight,joy,pos
delirium,delirium,joy,pos
demor,demoralize,sadness,neg
deplor,deplore,anger,neg
depress,depress,sadness,neg
desecr,desecrate,anger,neg
desir,desire,love,pos
desol,desolate,sadness,neg
despair,despair,sadness,neg
desper,desperation,sadness,neg
despond,despondency,sadness,neg
destroy,destroyed,anger,neg
detest,detest,anger,neg
devot,devote,love,pos
devoted,devoted,love,pos
dire,dire,fear,neg
disappoint,disappoint,sadness,neg
disapprov,disapproval,anger,neg
discomfort,discomfort,sadness,neg
disconsol,disconsolate,sadness,neg
discourag,discourage,sadness,neg
disfavor,disfavor,anger,neg
disfavour,disfavour,anger,neg
disgust,disgust,anger,neg
dishearten,dishearten,sadness,neg
disinclin,disinclined,sadness,neg
dislik,dislike,anger,neg
dismal,dismal,sadness,neg
dismay,dismay,fear,neg
disparag,disparage,anger,neg
dispirit,dispirited,sadness,neg
dispirited,dispirited,sadness,neg
displeas,displease,anger,neg
displeasur,displeasure,anger,neg
disquiet,disquiet,fear,neg
disquietud,disquietude,fear,neg
dissatisfi,dissatisfied,anger,neg
distast,distaste,anger,neg
distemp,distemper,anger,neg
distress,distress,fear,neg
disturb,disturbed,anger,neg
dole,doleful,sadness,neg
dolor,dolor,sadness,neg
doubt,doubt,sadness,neg
downbeat,downbeat,sadness,neg
downcast,downcast,sadness,neg
downer,downer,sadness,neg
downheart,downhearted,sadness,neg
dread,dread,fear,neg
dysphoria,dysphoria,sadness,neg
eas,ease,joy,pos
ecstasi,ecstasy,joy,pos
elat,elated,joy,pos
embitt,embittered,anger,neg
enchant,enchant,love,pos
encourag,encourage,joy,pos
endear,endear,love,pos
enjoy,enjoy,joy,pos
enmiti,enmity,anger,neg
ennobl,ennoble,love,pos
enrag,enrage,anger,neg
enshrin,enshrine,love,pos
entertain,entertained,joy,pos
envi,envied,anger,neg
esteem,esteem,love,pos
euphoria,euphoria,joy,pos
evad,evade,fear,neg
evil,evil,anger,neg
evildo,evildoing,anger,neg
exalt,exalt,love,pos
excit,excite,joy,pos
exhilar,exhilarating,joy,pos
exuber,exuberance,joy,pos
exult,exult,joy,pos
fascin,fascinate,love,pos
fear,fear,fear,neg
felic,felicity,joy,pos
feroc,ferocious,anger,neg
feroci,ferocity,anger,neg
fervor,fervor,love,pos
fidel,fidelity,love,pos
fond,fondness,love,pos
forebod,foreboding,fear,neg
forlorn,forlornness,sadness,neg
fortun,fortunate,joy,pos
frenzi,frenzy,anger,neg
fret,fret,fear,neg
friend,friendliness,love,pos
friendli,friendly,love,pos
friendship,friendship,love,pos
fright,fright,fear,neg
frighten,frightening,fear,neg
frolic,frolic,joy,pos
frustrat,frustrate,anger,neg
fun,fun,joy,pos
funer,funereal,sadness,neg
funk,funk,sadness,neg
furi,furor,anger,neg
furor,fury,anger,neg
futil,futile,sadness,neg
gaieti,gaiety,joy,pos
gall,gall,anger,neg
genial,geniality,joy,pos
glad,glad,joy,pos
gladden,gladden ,joy,pos
glee,glee,joy,pos
gloom,gloom,sadness,neg
gloomi,gloomy,sadness,neg
glori,glorified,love,pos
glorifi,glorify,love,pos
glum,glum,sadness,neg
good,good,joy,pos
grace,grace,joy,pos
grate,grate,anger,neg
gratif,gratify,joy,pos
gratifi,gratifying,joy,pos
grief,grief,sadness,neg
griev,grievance,sadness,neg
grievanc,grieve,sadness,neg
grim,grim,sadness,neg
groan,groan,sadness,neg
grudg,grudge,anger,neg
happi,happiness,joy,pos
harass,harass,anger,neg
hardship,hardship,sadness,neg
harm,harm,anger,neg
hate,hate,anger,neg
hatr,hatred,anger,neg
heartach,heartache,sadness,neg
heartbreak,heartbreak,sadness,neg
heaven,heavenly,joy,pos
heavyheart,heavyhearted,sadness,neg
hideous,hideous,fear,neg
hilar,hilarity,joy,pos
hopeless,hopeless,sadness,neg
horror,horror,fear,neg
horrour,horrour,fear,neg
hostil,hostility,anger,neg
hug,hug,love,pos
humili,humiliate,sadness,neg
humor,humor,joy,pos
humour,humour,joy,pos
hurt,hurtful,anger,neg
hyster,hysterical,anger,neg
idol,idolize,love,pos
ignomini,ignominy,anger,neg
incens,incensed,anger,neg
inclin,inclination,love,pos
indign,indignant,anger,neg
infatu,infatuated,love,pos
infel,infelicity,sadness,neg
infuri,infuriated,anger,neg
inhuman,inhumanity,anger,neg
insult,insulted,anger,neg
invidi,invidious,anger,neg
irascibil,irascibile,anger,neg
ire,ire,anger,neg
irksom,irksome,anger,neg
irrit,irritable,anger,neg
jitter,jitters,fear,neg
jocular,jocularity,joy,pos
jocund,jocundity,joy,pos
jolliti,jollity,joy,pos
jovial,joviality,joy,pos
joy,joy,joy,pos
joyless,joyless,sadness,neg
joyous,joyous,joy,pos
jubil,jubilance,joy,pos
kind,kindness,love,pos
kiss,kiss,love,pos
lachrymos,lachrymose,sadness,neg
lament,lament,sadness,neg
laudabl,laudable,love,pos
laugh,laugh,joy,pos
laughter,laughter,joy,pos
letdown,letdown,sadness,neg
libido,libido,love,pos
lighthearted,lightheartedness,joy,pos
listless,listless,sadness,neg
liveli,lively,joy,pos
loath,loathing,anger,neg
love,love,love,pos
lowspirit,lowspirited,sadness,neg
lugubri,lugubrious,sadness,neg
lust,lust,love,pos
luxuri,luxury,joy,pos
mad,mad,anger,neg
madden,madden,anger,neg
malais,malaise,sadness,neg
malevol,malevolence,anger,neg
malic,malice,anger,neg
malign,malignance,anger,neg
mania,mania,anger,neg
meaningless,meaningless,sadness,neg
melanchol,melancholic,sadness,neg
melancholi,melancholy,sadness,neg
merri,merriment,joy,pos
merriment,merry,joy,pos
milit,militant,anger,neg
mirth,mirth,joy,pos
mischief,mischief,anger,neg
misdo,misdoing,anger,neg
miser,miserable,sadness,neg
miseri,misery,sadness,neg
misfortun,misfortune,sadness,neg
misgiv,misgiving,fear,neg
mistrust,mistrust,fear,neg
moan,moan,sadness,neg
moodi,moody,sadness,neg
mope,mope,sadness,neg
mortif,mortification,sadness,neg
mortifi,mortified,sadness,neg
mourn,mourn,sadness,neg
nervous,nervous,fear,neg
nightmarish,nightmarish,fear,neg
obsess,obsess,love,pos
odium,odium,anger,neg
offend,offend,anger,neg
oppress,oppress,sadness,neg
optim,optimism,joy,pos
optimist,optimistic,joy,pos
outburst,outburst,anger,neg
outrag,outrage,anger,neg
pain,pain,sadness,neg
panic,panic,fear,neg
panick,panicked,fear,neg
passion,passion,love,pos
peac,peace,joy,pos
peev,peeved,sadness,neg
pensiv,pensive,sadness,neg
persecut,persecuted,fear,neg
perturb,perturbed,anger,neg
petul,petulance,anger,neg
phobia,phobia,fear,neg
pieti,piety,love,pos
play,play,joy,pos
pleasur,pleasure,love,pos
poignant,poignant,sadness,neg
prejud,prejudice,anger,neg
prejudic,prejudiced,anger,neg
presenti,presentiment,fear,neg
profan,profanation,anger,neg
prosper,prosperity,joy,pos
purgatori,purgatory,sadness,neg
qualm,qualm,fear,neg
rage,rage,anger,neg
rampag,rampage,anger,neg
rancor,rancor,anger,neg
rant,rant,anger,neg
rape,rape,anger,neg
rapin,rapine,anger,neg
raptur,rapture,joy,pos
rave,rave,anger,neg
recoil,recoil,fear,neg
regal,regalement,joy,pos
regret,regret,sadness,neg
rejoic,rejoice,joy,pos
relax,relax,joy,pos
relish,relish,love,pos
remors,remorse,sadness,neg
repel,repeled,anger,neg
repent,repentance,sadness,neg
repugn,repugnance,anger,neg
repuls,repulsed,anger,neg
resent,resent,anger,neg
respect,respect,love,pos
restless,restlessness,fear,neg
revelri,revelry,joy,pos
reveng,revenge,anger,neg
rever,revere,love,pos
revil,revile,anger,neg
revuls,revulsion,anger,neg
rue,rue,sadness,neg
rueful,rueful,sadness,neg
sad,sad,sadness,neg
sadden,sadden,sadness,neg
sadder,sadder,sadness,neg
satisfact,satisfaction,joy,pos
satisfi,satisfied,joy,pos
savor,savor,love,pos
scare,scare,fear,neg
scari,scary,fear,neg
scorn,scorn,anger,neg
seeth,seethe,anger,neg
sensual,sensual,love,pos
sex,sex,love,pos
shiver,shiver,fear,neg
shock,shock,fear,neg
shudder,shudder,fear,neg
shun,shun,fear,neg
sigh,sigh,sadness,neg
sob,sob,sadness,neg
solac,solace,joy,pos
somber,somber,sadness,neg
sorri,sorrow,sadness,neg
sorrow,sorry,sadness,neg
spite,spite,anger,neg
spright,sprightly,joy,pos
starv,starved,sadness,neg
stress,stress,sadness,neg
struggl,struggle,sadness,neg
suffer,suffer,sadness,neg
suspect,suspect,fear,neg
suspens,suspense,fear,neg
suspici,suspicion,fear,neg
suspicion,suspicious,fear,neg
tantrum,tantrum,anger,neg
temper,temper,anger,neg
tender,tender,love,pos
terribl,terrible,fear,neg
terrifi,terrified,fear,neg
terror,terror,fear,neg
terrour,terrour,fear,neg
thrill,thrill,joy,pos
timid,timid,fear,neg
torment,torment,sadness,neg
tortur,torture,sadness,neg
treasur,treasure,love,pos
trembl,trembling,fear,neg
trepid,trepidation,fear,neg
triumph,triumph,joy,pos
troubl,trouble,sadness,neg
umbrag,umbrage,anger,neg
uncertainti,uncertainty,fear,neg
uneas,unease,fear,neg
uneasi,uneasiness,fear,neg
unhappi,unhappiness,sadness,neg
unsettl,unsettled,fear,neg
upset,upset,anger,neg
vehem,vehemence,anger,neg
vener,venerate,love,pos
verv,verve,joy,pos
vex,vexation,anger,neg
vexat,vexed,anger,neg
violat,violation,anger,neg
violenc,violence,anger,neg
vivaci,vivacious,joy,pos
wail,wail,sadness,neg
weep,weep,sadness,neg
wellb,wellbeing,joy,pos
whimper,whimper,sadness,neg
winc,wince,fear,neg
woe,woe,sadness,neg
wonder,wonder,joy,pos
worri,worries,fear,neg
worriment,worriment,fear,neg
worship,worship,love,pos
wrath,wrath,anger,neg
wretched,wretchedness,sadness,neg
wrongdo,wrongdoing,anger,neg
yearn,yearn,love,pos
zeal,zeal,love,pos
zest,zest,joy,pos
